 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,-1.358434,6.128727,7.444376,-0.025215,-0.023914,-0.000821
0,-1.365203,6.108734,7.445913,-0.026797,-0.031532,-0.014903
0,-1.378621,6.13491,7.456827,-0.027544,-0.042569,-0.027982
0,-1.450466,6.102605,7.471712,-0.029557,-0.059309,-0.035704
0,-1.442288,6.136801,7.537459,-0.029064,-0.065883,-0.046549
0,-1.543924,6.099021,7.515543,-0.026562,-0.064813,-0.056836
0,-1.643048,6.03486,7.545802,-0.024579,-0.06111,-0.063692
0,-1.737596,6.056239,7.560713,-0.027987,-0.062728,-0.061865
0,-1.792593,6.058034,7.578025,-0.026248,-0.061928,-0.050262
0,-1.805507,6.041578,7.553702,-0.022577,-0.055964,-0.047938
0,-1.818941,6.046642,7.546853,-0.017726,-0.04904,-0.040393
0,-1.790887,6.033324,7.498328,-0.022106,-0.040433,-0.037058
0,-1.77228,6.044214,7.484963,-0.027408,-0.037091,-0.031547
0,-1.753854,6.054895,7.47174,-0.029156,-0.030055,-0.028374
0,-1.720806,6.057123,7.468351,-0.038412,-0.028389,-0.032599
0,-1.714403,6.048545,7.498271,-0.035466,-0.025591,-0.028564
0,-1.71453,6.086508,7.537525,-0.036984,-0.026798,-0.02542
0,-1.683569,6.067007,7.559586,-0.028773,-0.027139,-0.021734
0,-1.671665,6.103338,7.537694,-0.029661,-0.023523,-0.017553
0,-1.664792,6.095757,7.566853,-0.028211,-0.016959,-0.015748
0,-1.638199,6.103606,7.535993,-0.024128,-0.011963,-0.014118
0,-1.633032,6.103132,7.450965,-0.025819,-0.010289,-0.015887
0,-1.650794,6.107,7.487516,-0.030359,-0.018027,-0.019042
0,-1.644307,6.120164,7.534801,-0.029956,-0.024187,-0.019575
0,-1.678607,6.109713,7.58778,-0.02904,-0.023887,-0.016345
0,-1.71046,6.121677,7.61494,-0.022884,-0.021553,-0.013682
0,-1.709705,6.140536,7.634865,-0.014859,-0.018804,-0.009724
0,-1.708423,6.139239,7.636195,-0.009547,-0.018019,-0.002653
0,-1.689111,6.11089,7.584827,-0.003479,-0.014239,-0.002443
0,-1.65319,6.118029,7.534919,-0.000246,-0.005814,-0.001784
0,-1.682536,6.092234,7.479967,0.003218,-0.005634,-0.001187
0,-1.666584,6.063564,7.471308,0.001554,-0.009126,-0.002746
0,-1.704841,6.041102,7.433472,0.001637,-0.005594,-0.005675
0,-1.705254,6.06164,7.451788,-0.006531,-0.001543,-0.007114
0,-1.73668,6.005663,7.536748,-0.012832,0.002921,-0.007261
0,-1.750392,6.034336,7.5027,-0.013707,0.006535,-0.003061
0,-1.755931,6.009704,7.572711,-0.014377,0.00707,0.000871
0,-1.774208,6.036133,7.625828,-0.013467,0.007563,0.009292
0,-1.759127,6.048227,7.654029,-0.009637,0.006945,0.014335
0,-1.717862,6.071609,7.648625,-0.004647,0.017417,0.019016
0,-1.687959,6.055696,7.667377,-0.002764,0.017638,0.015124
0,-1.652772,6.064004,7.616416,0.013733,0.011812,0.02272
0,-1.631402,6.03988,7.518937,0.023721,0.013525,0.030431
0,-1.587495,6.011597,7.299845,0.01966,0.022387,0.025444
0,-1.552688,6.020103,7.248564,-0.002208,0.018739,0.013899
0,-1.591182,6.031698,7.360983,-0.017701,0.000104,-0.002261
0,-1.649396,6.047641,7.55223,-0.023143,-0.013097,-0.008456
0,-1.717803,6.073735,7.646951,-0.018112,-0.003012,-0.014141
0,-1.732745,6.072673,7.752568,-0.018542,0.003332,-0.008428
0,-1.780029,6.066029,7.864393,-0.008348,0.001966,-0.000977
0,-1.759745,6.081717,7.804543,0.013277,-0.000199,0.008789
0,-1.72315,6.04978,7.716451,0.03053,0.006233,0.021947
0,-1.640648,6.065771,7.552754,0.032725,0.015984,0.022089
0,-1.634876,6.029762,7.42673,0.032405,0.011423,0.012664
0,-1.608411,6.043138,7.391428,0.020934,0.003337,0.008303
0,-1.618999,6.005092,7.414822,0.010142,-0.005284,1.8e-05
0,-1.686766,5.992381,7.471136,0.004587,0.002373,-0.001817
0,-1.740137,5.971147,7.537182,-0.000765,0.006953,-0.003916
0,-1.749852,5.995156,7.572401,-0.00488,0.002147,-0.000377
0,-1.80281,5.994175,7.657154,-0.007332,0.00083,0.004717
0,-1.867811,5.981506,7.670799,-0.005896,0.007587,0.011718
0,-1.858769,5.97819,7.653705,-0.000844,0.016799,0.024023
0,-1.80528,5.979155,7.569094,-0.001933,0.018513,0.033862
0,-1.771834,5.964871,7.544152,-0.003291,0.024555,0.036325
0,-1.759775,5.984002,7.501364,-0.00384,0.018287,0.037733
0,-1.719842,5.985855,7.521249,-0.005828,0.019508,0.039153
0,-1.734137,5.99396,7.511887,-0.009584,0.023853,0.03635
0,-1.745444,5.996147,7.572634,-0.008961,0.028667,0.037382
0,-1.691029,5.968734,7.584011,-0.006256,0.025646,0.039654
0,-1.682628,6.027974,7.621198,-0.010157,0.027719,0.032147
0,-1.665234,6.021174,7.58697,-0.003376,0.034847,0.035853
0,-1.647911,6.014628,7.552526,-0.005048,0.031361,0.034289
0,-1.660759,6.044905,7.517325,-0.006535,0.029963,0.032253
0,-1.640021,6.032242,7.553252,-0.006422,0.028329,0.02953
0,-1.622715,6.046227,7.537205,-0.006107,0.02362,0.026548
0,-1.664564,6.043698,7.560691,-0.005989,0.021988,0.023828
0,-1.66498,6.04345,7.560798,-0.008763,0.02129,0.019298
0,-1.709877,6.03962,7.627883,-0.003505,0.018139,0.018955
0,-1.766519,6.024445,7.62365,-0.004971,0.020645,0.024335
0,-1.766233,6.024731,7.62349,-0.002828,0.020419,0.035227
0,-1.739202,6.015014,7.571978,0.000727,0.029272,0.03269
0,-1.715545,6.004083,7.563929,-0.002482,0.029746,0.034054
0,-1.721618,6.009378,7.536862,-0.000173,0.027707,0.037063
0,-1.71809,5.990463,7.474701,-0.001453,0.027134,0.042172
0,-1.675645,5.972427,7.432971,-0.007295,0.029186,0.043696
0,-1.651686,6.002545,7.461797,-0.012438,0.030709,0.041305
0,-1.630803,6.010048,7.516462,-0.016422,0.029271,0.036723
0,-1.645799,6.017216,7.507683,-0.020149,0.028472,0.03412
0,-1.669993,6.027633,7.516031,-0.019708,0.027303,0.028222
0,-1.65862,6.017153,7.569894,-0.016195,0.031164,0.031064
0,-1.647257,6.034867,7.528074,-0.016262,0.02745,0.028821
0,-1.647614,6.033883,7.528785,-0.0171,0.025713,0.028037
0,-1.62737,6.0407,7.583838,-0.018,0.025426,0.024802
0,-1.60114,6.049881,7.55188,-0.019033,0.026761,0.024275
0,-1.611013,6.030968,7.551749,-0.022624,0.029507,0.018749
0,-1.585857,6.060612,7.538052,-0.020004,0.03308,0.018369
0,-1.56944,6.052146,7.505,-0.020589,0.031977,0.019561
0,-1.568017,6.072461,7.480742,-0.025391,0.028824,0.014199
0,-1.581413,6.030429,7.506677,-0.033595,0.02407,0.010663
0,-1.604184,6.053951,7.604315,-0.031412,0.019768,0.008994
0,-1.661917,6.05752,7.619585,-0.02521,0.020585,0.014142
0,-1.668858,6.060244,7.594432,-0.025357,0.027355,0.016629
0,-1.649417,6.003566,7.5955,-0.023761,0.032266,0.015733
0,-1.669114,6.029467,7.648692,-0.021602,0.026675,0.021667
0,-1.624433,5.990749,7.546131,-0.003903,0.026432,0.024072
0,-1.645193,5.990499,7.378069,-0.011953,0.037942,0.027012
0,-1.65516,5.999955,7.282354,-0.034262,0.037129,0.018748
0,-1.69977,6.007425,7.4396,-0.045694,0.020157,0.007129
0,-1.753022,6.01761,7.614344,-0.042729,0.013888,0.004009
0,-1.865539,6.019554,7.7139,-0.041032,0.026192,0.007587
0,-1.865539,6.019554,7.7139,-0.041032,0.026192,0.007587
0,-1.918797,6.019727,7.857385,-0.02918,0.035546,0.02113
0,-1.916837,6.001919,7.897413,0.00117,0.039909,0.045717
0,-1.824147,5.984296,7.814615,0.017301,0.051119,0.060679
0,-1.780841,5.935512,7.620699,0.022099,0.057921,0.068254
0,-1.680872,5.943087,7.468004,0.026014,0.054146,0.073024
0,-1.587361,5.946906,7.402979,0.01156,0.04493,0.062031
0,-1.581435,5.943725,7.428247,0.001607,0.039673,0.051997
0,-1.606996,5.948364,7.548514,-0.006222,0.033046,0.035438
0,-1.639173,5.977861,7.660877,-0.011581,0.03913,0.030817
0,-1.649881,6.001805,7.69592,-0.006952,0.036311,0.02928
0,-1.672524,5.986902,7.754489,0.001063,0.032318,0.035972
0,-1.654496,6.00209,7.737841,0.010493,0.031145,0.04225
0,-1.647422,6.027825,7.667459,0.013948,0.036421,0.04266
0,-1.625082,6.024799,7.588299,0.018681,0.029221,0.048458
0,-1.614807,6.003236,7.551264,0.018392,0.024902,0.044253
0,-1.580438,5.990393,7.525473,0.01833,0.01606,0.042247
0,-1.579108,5.971867,7.505728,0.014096,0.016971,0.030795
0,-1.596728,5.959692,7.52015,0.006939,0.016087,0.027531
0,-1.651173,5.940502,7.584076,0.008475,0.013606,0.022204
0,-1.659715,5.924539,7.581846,0.008503,0.012147,0.024644
0,-1.617267,5.948067,7.576722,0.003166,0.013101,0.020247
0,-1.626314,5.952397,7.592992,0.005372,0.013948,0.018389
0,-1.602551,5.961904,7.60354,0.002304,0.012836,0.017023
0,-1.569569,5.967858,7.597242,0.006868,0.007778,0.01085
0,-1.575,5.952487,7.552006,0.000477,0.006392,0.003709
0,-1.580778,5.978226,7.543496,-0.001733,0.005545,0.005564
0,-1.595618,5.965622,7.515683,-0.004896,0.003662,-0.002901
0,-1.605247,5.947627,7.514825,-0.009021,0.000209,-0.007011
0,-1.629684,6.000102,7.559092,-0.01088,-0.005312,-0.00809
0,-1.642686,5.980238,7.602175,-0.011112,-0.005935,-0.01006
0,-1.661165,5.965171,7.618711,-0.012566,-0.007294,-0.012088
0,-1.694519,5.979506,7.643523,-0.007453,-0.003729,-0.00989
0,-1.703991,5.982103,7.66105,-0.007656,-0.00581,-0.009417
0,-1.685716,5.995396,7.645873,0.002125,-0.006526,-0.006288
0,-1.66702,5.967572,7.593981,0.000119,-0.005295,-0.004906
0,-1.654522,6.006862,7.57012,5.9e-05,-0.002378,-0.009793
0,-1.658536,5.984464,7.59548,0.000409,-0.00705,-0.01273
0,-1.649573,6.001609,7.596887,0.002838,-0.010725,-0.01239
0,-1.676996,6.012313,7.647404,0.005861,-0.013302,-0.013243
0,-1.715414,6.033214,7.644395,0.010508,-0.010979,-0.014986
0,-1.697007,6.006291,7.591726,0.0144,-0.008147,-0.012847
0,-1.711647,5.994769,7.563097,0.008892,-0.010734,-0.014326
0,-1.73558,5.986611,7.551436,0.011924,-0.008164,-0.015408
0,-1.765008,5.983341,7.513162,0.008496,-0.009752,-0.013609
0,-1.786942,5.968628,7.571875,0.006289,-0.010602,-0.011752
0,-1.823355,5.94158,7.602642,0.008335,-0.008144,-0.01092
0,-1.832547,5.945761,7.618997,0.009631,-0.005173,-0.006203
0,-1.837799,5.930703,7.573557,0.008764,0.000639,0.002591
0,-1.781095,5.945734,7.578163,0.007979,0.002607,0.004032
0,-1.762596,5.93935,7.543925,0.002433,0.007553,0.012126
0,-1.696664,5.929295,7.51405,-0.00491,0.009733,0.009116
0,-1.652908,5.945116,7.580081,-0.009206,0.002734,0.007925
0,-1.619634,5.97102,7.592734,0.001361,5.7e-05,0.009607
0,-1.602411,5.949908,7.470422,0.004987,0.003725,0.00733
0,-1.53856,5.966578,7.388835,-0.010365,0.004759,-0.002157
0,-1.605556,6.016695,7.456147,-0.020776,-0.005396,-0.018316
0,-1.646437,6.026902,7.569032,-0.023706,-0.018415,-0.02192
0,-1.705151,6.002283,7.679492,-0.022994,-0.017472,-0.028256
0,-1.739036,6.03594,7.723549,-0.018076,-0.010834,-0.025815
0,-1.761946,6.018681,7.783968,-0.012808,-0.008869,-0.026312
0,-1.775315,5.978145,7.808551,0.001301,-0.009175,-0.019326
0,-1.762341,5.934887,7.711444,0.012029,-0.007378,-0.008315
0,-1.703642,5.916708,7.565597,0.018092,0.003844,0.001547
0,-1.669473,5.931103,7.445038,0.009879,0.005754,-0.004686
0,-1.623917,5.913894,7.360337,-0.000948,-0.007647,-0.007663
0,-1.623657,5.913105,7.361028,-0.011413,-0.015428,-0.014033
0,-1.654678,5.941026,7.47498,-0.022467,-0.019162,-0.019435
0,-1.694919,5.950871,7.588149,-0.025142,-0.016119,-0.021749
0,-1.746889,5.990897,7.666498,-0.028447,-0.012716,-0.025314
0,-1.751195,6.007358,7.730316,-0.020427,-0.011559,-0.018837
0,-1.799143,6.008152,7.728063,-0.015985,-0.01131,-0.020114
0,-1.739272,6.022367,7.690929,-0.009921,-0.005232,-0.010018
