 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,4.162889,8.168906,2.489763,0.055933,-0.184109,-0.134005
0,4.124644,7.988301,2.518054,0.063824,-0.175841,-0.10727
0,4.063525,7.878612,2.577297,0.08068,-0.155908,-0.06977
0,4.09755,7.803063,2.618473,0.111303,-0.124666,-0.023764
0,4.155939,7.818868,2.582864,0.155787,-0.102749,0.017133
0,4.183523,7.881067,2.466912,0.172046,-0.078198,0.052081
0,4.272473,8.024889,2.328691,0.152629,-0.05412,0.081554
0,4.426121,8.21901,2.295217,0.123756,-0.049892,0.10198
0,4.495574,8.415297,2.253994,0.11233,-0.063518,0.120785
0,4.638018,8.586718,2.290034,0.09919,-0.074238,0.138132
0,4.725921,8.711081,2.250372,0.086659,-0.075459,0.14
0,4.808646,8.795983,2.239062,0.070805,-0.070812,0.124789
0,4.827454,8.763211,2.161157,0.049145,-0.060529,0.092877
0,4.762273,8.693709,2.073239,0.028756,-0.057283,0.058801
0,4.645248,8.471591,1.941135,-0.003431,-0.058493,0.029457
0,4.568663,8.348129,1.877547,-0.051972,-0.067629,0.007277
0,4.483298,8.250752,1.813765,-0.112784,-0.066271,-0.008506
0,4.435172,8.194889,1.83774,-0.173994,-0.067484,-0.019767
0,4.407351,8.176015,1.954815,-0.224414,-0.064361,-0.012429
0,4.424411,8.169334,2.088987,-0.240549,-0.081883,0.000999
0,4.50364,8.277008,2.220834,-0.258065,-0.088124,0.024289
0,4.550914,8.276311,2.377151,-0.259797,-0.083899,0.045122
0,4.613659,8.309583,2.402131,-0.254139,-0.081738,0.056302
0,4.654015,8.283151,2.447303,-0.229637,-0.091596,0.054148
0,4.618016,8.226693,2.429817,-0.215111,-0.097402,0.040757
0,4.561963,8.134479,2.397651,-0.232093,-0.075152,0.032231
0,4.50475,8.058701,2.378853,-0.252937,-0.051429,0.031343
0,4.527918,8.036354,2.384961,-0.251669,-0.048715,0.03965
0,4.535614,8.074633,2.439791,-0.258548,-0.046355,0.073948
0,4.586928,8.142473,2.445791,-0.237745,-0.05689,0.086378
0,4.663902,8.171412,2.437489,-0.219686,-0.065805,0.084241
0,4.663902,8.171412,2.437489,-0.219686,-0.065805,0.084241
0,4.648693,8.155067,2.416186,-0.228842,-0.047456,0.047371
0,4.548014,8.08772,2.374119,-0.259612,-0.016663,0.009234
0,4.487956,8.111011,2.425115,-0.276543,-0.001214,0.0067
0,4.469392,8.181776,2.43966,-0.261706,-0.018104,0.013005
0,4.477602,8.278247,2.483425,-0.240951,-0.025387,0.018574
0,4.468244,8.371047,2.531814,-0.229838,-0.025022,0.023109
0,4.502568,8.460833,2.582763,-0.215855,-0.022892,0.022468
0,4.519131,8.563385,2.648794,-0.184131,-0.024799,0.025071
0,4.565313,8.652913,2.661341,-0.134777,-0.044959,0.026434
0,4.574967,8.704619,2.657103,-0.08605,-0.060498,0.025452
0,4.5722,8.71182,2.646211,-0.054353,-0.067711,0.012036
0,4.530582,8.665237,2.61044,-0.035633,-0.067163,0.000896
0,4.433227,8.608613,2.590397,-0.017232,-0.066967,-0.005095
0,4.317667,8.532514,2.56371,-0.011959,-0.073344,0.007515
0,4.273112,8.477385,2.571851,-0.023396,-0.06879,0.02415
0,4.234641,8.448739,2.678302,-0.055304,-0.052489,0.045796
0,4.226683,8.403861,2.739984,-0.086865,-0.027078,0.07161
0,4.279082,8.364002,2.859859,-0.098301,-0.016165,0.096818
0,4.330779,8.358392,2.929776,-0.085882,-0.01003,0.115999
0,4.398071,8.346733,3.039424,-0.067723,0.002047,0.125586
0,4.457023,8.314159,3.110768,-0.048397,0.029425,0.124252
0,4.444698,8.245221,3.13545,-0.018742,0.061391,0.130307
0,4.40799,8.113854,3.046621,0.008838,0.096357,0.146874
0,4.363077,8.061458,2.914568,0.036257,0.131194,0.155628
0,4.351358,8.03911,2.840124,0.041478,0.15635,0.154957
0,4.390224,8.034034,2.807242,0.033298,0.16096,0.14751
0,4.437932,8.081293,2.836069,0.016618,0.163316,0.149998
0,4.549094,8.158895,2.886494,0.012653,0.165727,0.157993
0,4.598387,8.221043,2.927525,0.030616,0.162976,0.156469
0,4.677858,8.23365,2.968203,0.050987,0.166695,0.155325
0,4.752036,8.289559,3.014409,0.084088,0.17275,0.160517
0,4.812654,8.336195,3.004494,0.126703,0.168629,0.166009
0,4.871699,8.336345,2.956205,0.169844,0.165548,0.160097
0,4.903822,8.313838,2.872182,0.203518,0.167368,0.145751
0,4.921211,8.246646,2.784245,0.219392,0.173944,0.134717
0,4.888699,8.176336,2.738315,0.22584,0.171039,0.119701
