 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,0.987279,0.765592,10.04139,0.003443,-0.226284,0.026626
0,1.120416,0.865777,10.019237,-0.022383,-0.227628,0.428499
0,0.606551,1.086982,10.012968,-0.01783,-0.117071,0.257205
0,0.921127,0.896521,9.976986,-0.00308,-0.013917,0.09705
0,0.900833,0.992115,9.862439,0.016178,0.064261,-0.051119
0,0.836511,1.205288,9.712482,0.018437,0.131745,-0.146265
0,0.795947,1.170221,9.714584,0.01325,0.163213,-0.210573
0,0.835735,1.033439,9.730709,-0.00209,0.160959,-0.235641
0,0.766948,0.962043,9.749614,-0.015003,0.111693,-0.182741
0,0.58705,0.88904,9.645563,-0.001745,0.04787,-0.201367
0,0.579981,0.77537,9.562661,0.034361,-0.022812,-0.221621
0,0.568738,0.819844,9.514909,0.070022,-0.103666,-0.204131
0,0.621965,0.850858,9.506588,0.0937,-0.180362,-0.185705
0,0.679977,0.914726,9.580863,0.073544,-0.230018,-0.194646
0,0.76883,0.942144,9.586239,0.040867,-0.266637,-0.209697
0,0.861762,0.908298,9.659752,0.00289,-0.258619,-0.247411
0,1.051185,0.810653,9.672736,-0.035485,-0.185251,-0.281929
0,1.188799,0.680318,9.646599,-0.070729,-0.080738,-0.294437
0,1.157861,0.697318,9.595807,-0.107823,0.018745,-0.287825
0,0.964744,0.753377,9.557695,-0.127918,0.079391,-0.296685
0,0.794225,0.8908,9.534117,-0.13785,0.078023,-0.325759
0,0.696518,0.899213,9.570903,-0.133058,0.043943,-0.36386
0,0.651162,0.848049,9.631604,-0.126264,5.3e-05,-0.403124
0,0.610364,0.778926,9.744077,-0.129543,-0.042464,-0.421167
0,0.629531,0.618436,9.869536,-0.124279,-0.068054,-0.402806
0,0.619547,0.64249,9.896732,-0.120116,-0.082856,-0.371814
0,0.623683,0.661612,9.980868,-0.119447,-0.083234,-0.336278
0,0.696906,0.630173,10.004478,-0.127685,-0.060871,-0.290672
0,0.673845,0.65626,10.048306,-0.135158,-0.031623,-0.247325
0,0.648287,0.774846,10.067113,-0.146427,-0.01728,-0.217769
0,0.655222,0.822312,10.031993,-0.130165,-0.021188,-0.222832
0,0.73267,0.797494,10.013697,-0.091373,-0.021987,-0.246397
0,0.656856,0.859005,9.950412,-0.039959,0.006796,-0.276529
0,0.665049,0.93624,9.846613,-0.00499,0.067552,-0.316823
0,0.616004,0.989556,9.718723,0.009994,0.114139,-0.352014
0,0.598229,0.964421,9.562351,0.016187,0.124288,-0.388962
0,0.550569,0.942542,9.480317,0.015328,0.107079,-0.412845
0,0.478418,0.94003,9.493425,0.001507,0.065966,-0.440414
0,0.429769,0.918271,9.427149,-0.023382,0.009956,-0.453865
0,0.455822,0.841093,9.488225,-0.043106,-0.038725,-0.460011
0,0.506054,0.718227,9.547953,-0.057711,-0.063799,-0.457595
0,0.529292,0.660461,9.572846,-0.068687,-0.067526,-0.457115
0,0.565205,0.597529,9.654615,-0.071697,-0.039773,-0.446013
0,0.505386,0.574944,9.6207,-0.074765,-0.002552,-0.419357
0,0.394483,0.659252,9.62698,-0.082965,0.01597,-0.400523
0,0.396671,0.602447,9.595433,-0.089762,0.013133,-0.387371
0,0.382485,0.595962,9.612361,-0.105282,0.002633,-0.362003
0,0.419707,0.644889,9.649111,-0.123049,-0.026263,-0.332212
0,0.40142,0.701172,9.646833,-0.137717,-0.038703,-0.31105
0,0.462557,0.741064,9.651571,-0.135218,-0.042295,-0.287385
0,0.435904,0.817861,9.687037,-0.125444,-0.039094,-0.265217
0,0.448762,0.829391,9.667157,-0.10653,-0.031768,-0.247411
0,0.408035,0.895109,9.697737,-0.086287,-0.021306,-0.221019
0,0.408035,0.895109,9.697737,-0.086287,-0.021306,-0.221019
0,0.414712,0.990549,9.672413,-0.068847,-0.012103,-0.193107
0,0.386066,1.060056,9.653428,-0.076961,-0.009141,-0.162545
0,0.386812,1.068889,9.675714,-0.079285,-0.014497,-0.144414
0,0.435335,1.108906,9.722889,-0.081099,-0.020546,-0.130916
0,0.4612,1.108998,9.785826,-0.09091,-0.011542,-0.115694
0,0.462252,1.051337,9.843118,-0.095309,0.000778,-0.092841
0,0.43919,1.045207,9.876936,-0.100123,0.014963,-0.075381
0,0.361084,1.153402,9.927426,-0.101453,0.020753,-0.057258
0,0.321739,1.18919,9.874597,-0.091523,0.026174,-0.043986
0,0.36318,1.101368,9.918326,-0.078245,0.040055,-0.027595
0,0.345571,1.050567,9.918562,-0.064806,0.048331,-0.010012
0,0.359878,1.038161,9.88708,-0.051238,0.061623,0.017437
0,0.329524,1.047843,9.894677,-0.035775,0.077161,0.030169
0,0.319327,1.043606,9.895459,-0.029971,0.096647,0.054327
0,0.309239,0.992347,9.951931,-0.029926,0.106002,0.076039
0,0.30904,0.938746,9.992149,-0.02398,0.108615,0.097707
0,0.261045,0.874472,9.955245,-0.017258,0.098713,0.122101
0,0.197155,0.942922,9.955122,-0.008859,0.065029,0.141914
