 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,0.670579,2.779106,9.4067,0.037171,-0.147296,-0.119911
0,0.746666,2.761413,9.516551,0.042734,-0.144486,-0.113808
0,0.781538,2.792809,9.54687,0.035286,-0.114148,-0.112227
0,0.768529,2.743411,9.473702,0.025172,-0.063974,-0.10383
0,0.750329,2.763965,9.50768,0.008885,-0.018785,-0.108836
0,0.724144,2.697102,9.496247,0.000895,0.00938,-0.11446
0,0.70254,2.687801,9.492814,0.007715,0.020947,-0.119188
0,0.693787,2.656995,9.497166,0.019023,0.022987,-0.122515
0,0.633487,2.647063,9.452171,0.037303,0.035707,-0.117485
0,0.665664,2.651375,9.376715,0.043472,0.052807,-0.114051
0,0.611931,2.648242,9.377986,0.035084,0.073252,-0.101879
0,0.554638,2.653187,9.362485,0.028056,0.073979,-0.093804
0,0.523431,2.598243,9.423252,0.025759,0.052742,-0.082397
0,0.556374,2.553828,9.502418,0.028457,0.03225,-0.062714
0,0.569376,2.536457,9.599164,0.034792,0.020667,-0.041853
0,0.666981,2.527157,9.619531,0.038742,0.03584,-0.024317
0,0.693534,2.491985,9.592231,0.036366,0.077317,-0.00364
0,0.692662,2.525213,9.561383,0.029923,0.115055,0.01593
0,0.674824,2.527011,9.47222,0.021444,0.135499,0.028039
0,0.646781,2.498955,9.413781,0.023201,0.121625,0.046877
0,0.643094,2.463799,9.392743,0.026351,0.087908,0.066991
0,0.686282,2.481117,9.347574,0.046731,0.050677,0.082439
0,0.735141,2.533237,9.296993,0.054626,0.034454,0.098095
0,0.720755,2.50773,9.236892,0.047894,0.033412,0.122955
0,0.74491,2.549889,9.119378,0.032295,0.03077,0.152535
0,0.742371,2.568856,9.084747,0.008965,0.023186,0.185932
0,0.754365,2.666103,9.070658,-0.028858,-0.004259,0.211005
0,0.865219,2.66392,9.149128,-0.049629,-0.065291,0.204662
0,0.919142,2.669567,9.263508,-0.051728,-0.106845,0.198579
0,0.997378,2.638124,9.287453,-0.041994,-0.119725,0.184526
0,1.014452,2.639975,9.270336,-0.045136,-0.113915,0.174004
0,1.065683,2.579246,9.393329,-0.040416,-0.107977,0.167647
0,1.092163,2.579872,9.439304,-0.010571,-0.085416,0.159616
0,1.071479,2.607761,9.392654,0.002988,-0.05407,0.163013
