 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,-0.155781,2.095319,9.569601,0.00467,-0.004024,-0.077112
0,-0.166271,2.111463,9.573509,-0.001572,-0.026632,-0.075326
0,-0.181323,2.106884,9.643995,0.015067,-0.06222,-0.085769
0,-0.120601,2.050247,9.642063,0.041302,-0.090678,-0.094387
0,-0.137788,2.078656,9.576539,0.055881,-0.096613,-0.097458
0,-0.108358,2.078945,9.558673,0.051059,-0.083667,-0.102488
0,-0.094953,2.104939,9.490969,0.031252,-0.060088,-0.105333
0,-0.109311,2.10209,9.561162,0.009923,-0.047862,-0.11427
0,-0.15041,2.088889,9.603024,0.013514,-0.033077,-0.1238
0,-0.139364,2.075023,9.598629,0.026215,-0.031815,-0.130118
0,-0.211652,2.097603,9.521588,0.041177,-0.032746,-0.138342
0,-0.252094,2.098613,9.423866,0.035043,-0.037873,-0.140671
0,-0.313183,2.130154,9.334322,0.021251,-0.041641,-0.137855
0,-0.285275,2.108916,9.398505,0.003002,-0.042058,-0.136157
0,-0.305638,2.114152,9.415343,-0.002201,-0.035136,-0.140995
0,-0.327066,2.118763,9.43229,-0.006258,-0.024784,-0.139486
0,-0.339688,2.085974,9.427281,-0.014327,-0.035563,-0.143858
0,-0.424172,2.079563,9.503628,-0.017705,-0.03478,-0.140535
0,-0.45152,2.086666,9.579125,-0.026328,-0.037702,-0.131017
0,-0.438499,2.061806,9.602944,-0.021434,-0.022031,-0.115633
0,-0.450267,2.04847,9.616307,-0.018109,-0.003971,-0.102566
0,-0.468472,2.098272,9.558011,-0.0247,0.015375,-0.100113
0,-0.473735,2.094172,9.558651,-0.03451,0.03073,-0.091327
0,-0.559319,2.0853,9.550235,-0.037127,0.023828,-0.094084
0,-0.597261,2.054518,9.562331,-0.035697,0.012574,-0.088624
0,-0.617248,2.017795,9.642665,-0.034096,0.001507,-0.075353
0,-0.614184,1.97653,9.706148,-0.023737,-0.009379,-0.060827
0,-0.589761,1.983797,9.735141,-0.012479,-0.006184,-0.048859
0,-0.623794,1.956199,9.74669,-0.010121,0.00076,-0.036166
0,-0.589955,1.974971,9.762669,-0.012612,0.010922,-0.02247
0,-0.613289,1.952589,9.788284,-0.008651,0.023435,-0.005604
0,-0.627044,1.941802,9.800872,0.003986,0.030041,0.002786
0,-0.647281,1.949626,9.732042,0.022398,0.038819,0.018574
0,-0.646065,1.954005,9.646101,0.031557,0.036477,0.038412
0,-0.642783,2.006128,9.569531,0.035406,0.032215,0.056559
0,-0.620804,2.038036,9.430951,0.034845,0.032194,0.068598
0,-0.576786,2.099103,9.424273,0.02524,0.024023,0.079625
0,-0.529233,2.101368,9.462385,0.020098,0.018187,0.075948
0,-0.470701,2.139355,9.479224,0.012311,0.008378,0.066556
0,-0.434387,2.10879,9.512277,0.007918,0.012621,0.060442
