 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,0.73311,3.713959,9.227071,-0.014425,-0.054181,0.112261
0,0.648828,3.688764,9.188878,-0.056022,0.040162,0.056701
0,0.509508,3.584531,9.180894,-0.114749,0.125182,0.018137
0,0.35966,3.449098,9.184957,-0.158726,0.155054,0.017618
0,0.2164,3.230682,9.290176,-0.156559,0.137506,0.050827
0,0.145189,3.096067,9.356379,-0.120842,0.091813,0.107461
0,0.129668,3.027079,9.322058,-0.064708,0.050426,0.18038
0,0.169456,2.979673,9.265214,-0.021055,0.02444,0.254412
0,0.217715,2.983037,9.214422,0.004431,0.00869,0.321655
0,0.359436,3.049582,9.23816,0.011001,-0.002411,0.361608
0,0.448255,3.093648,9.22424,0.014949,-0.005987,0.385893
0,0.56827,3.108303,9.223184,0.020036,-0.011465,0.383806
0,0.652418,3.122464,9.245768,0.028149,-0.018814,0.373117
0,0.690834,3.14905,9.16643,0.030803,-0.02348,0.350936
0,0.729085,3.152178,9.182105,0.019789,-0.032955,0.330913
0,0.781139,3.10589,9.234991,0.003976,-0.039453,0.321699
0,0.85498,3.061502,9.304967,0.004792,-0.045733,0.316873
0,0.894018,3.062362,9.320926,0.017571,-0.04621,0.312127
0,0.981975,3.077963,9.315774,0.029855,-0.040458,0.302989
0,1.040972,3.147068,9.202133,0.03878,-0.039749,0.294799
0,1.109187,3.244033,9.163249,0.033115,-0.052605,0.281694
0,1.16409,3.304395,9.103703,0.024251,-0.066411,0.26112
0,1.217926,3.342379,9.026991,0.018407,-0.0755249999999999,0.233665
0,1.253785,3.379562,9.018693,0.004996,-0.078352,0.204043
0,1.29315,3.439946,9.001264,-0.024626,-0.0719439999999999,0.172984
0,1.331981,3.416937,9.086202,-0.044824,-0.061937,0.150102
0,1.345125,3.368962,9.137741,-0.045279,-0.051803,0.13425
0,1.36444,3.350366,9.152119,-0.04153,-0.043366,0.123102
0,1.387,3.375506,9.200736,-0.034993,-0.047496,0.110219
0,1.407354,3.380017,9.231821,-0.028814,-0.047603,0.0978
0,1.340856,3.415513,9.257605,-0.025408,-0.049653,0.077402
0,1.347247,3.469168,9.252156,-0.035672,-0.036121,0.05095
