index,start,end
0,0.015042592,0.0
1,0.014496623,0.015042592
2,0.013588007,0.014496623
3,0.01217827,0.013588007
4,0.010249253,0.01217827
5,0.008033668,0.010249253
6,0.0059357295,0.008033668
7,0.0042570294,0.0059357295
8,0.0030607895,0.0042570294
9,0.0022590638,0.0030607895
10,0.001732595,0.0022590638
11,0.0013853727,0.001732595
12,0.0011525083,0.0013853727
13,0.0009929708,0.0011525083
14,0.0008812637,0.0009929708
15,0.0008014649,0.0008812637
16,0.00074344064,0.0008014649
17,0.0007006228,0.00074344064
18,0.0006686238,0.0007006228
19,0.00064447185,0.0006686238
20,0.0006260913,0.00064447185
21,0.0006120046,0.0006260913
22,0.00060115167,0.0006120046
23,0.0005927511,0.00060115167
24,0.00058623066,0.0005927511
25,0.00058115716,0.00058623066
26,0.0005771979,0.00058115716
27,0.0005741031,0.0005771979
28,0.00057168485,0.0005741031
29,0.00056979293,0.00057168485
30,0.0005683115,0.00056979293
31,0.000567151,0.0005683115
32,0.0005662405,0.000567151
33,0.0005655293,0.0005662405
34,0.00056497194,0.0005655293
35,0.0005645387,0.00056497194
36,0.0005642007,0.0005645387
37,0.00056394,0.0005642007
38,0.000563739,0.00056394
39,0.0005635899,0.000563739
40,0.015042542,0.0005635899
41,0.014496435,0.015042542
42,0.0135875475,0.014496435
43,0.012177428,0.0135875475
44,0.010248076,0.012177428
45,0.008032479,0.010248076
46,0.005934852,0.008032479
47,0.004256524,0.005934852
48,0.0030605837,0.004256524
49,0.0022590423,0.0030605837
50,0.00173267,0.0022590423
51,0.0013854821,0.00173267
52,0.0011526041,0.0013854821
53,0.0009930284,0.0011526041
54,0.0008812637,0.0009930284
55,0.00080141524,0.0008812637
56,0.0007433535,0.00080141524
57,0.00070050545,0.0007433535
58,0.0006685083,0.00070050545
59,0.0006443837,0.0006685083
60,0.0006260453,0.0006443837
61,0.00061200926,0.0006260453
62,0.00060121086,0.00061200926
63,0.00059285935,0.00060121086
64,0.0005863773,0.00059285935
65,0.0005813277,0.0005863773
66,0.00057738594,0.0005813277
67,0.0005742973,0.00057738594
68,0.00057187537,0.0005742973
69,0.0005699694,0.00057187537
70,0.0005684695,0.0005699694
71,0.0005672916,0.0005684695
72,0.00056636793,0.0005672916
73,0.00056564383,0.00056636793
74,0.00056507596,0.00056564383
75,0.00056463137,0.00056507596
76,0.0005642839,0.00056463137
77,0.0005640109,0.0005642839
78,0.0005637988,0.0005640109
79,0.00056363567,0.0005637988
80,0.015042534,0.00056363567
81,0.014496384,0.015042534
82,0.013587376,0.014496384
83,0.0121769495,0.013587376
84,0.010247104,0.0121769495
