index,start,end
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.031143248,0.03176194
13,0.031664766,0.032345217
14,0.032325834,0.033072475
15,0.03315451,0.033990037
16,0.03415297,0.03508201
17,0.035277657,0.036300365
18,0.036520615,0.037621427
19,0.037877537,0.03903881
20,0.039347306,0.040550437
21,0.040880047,0.042099144
22,0.04243049,0.043639485
23,0.04395669,0.04512598
24,0.045390844,0.046484943
25,0.046684757,0.047657467
26,0.04787995,0.048712045
27,0.048945114,0.04961589
28,0.049873978,0.050370164
29,0.050593235,0.05089733
30,0.05106494,0.051137246
31,0.051175967,0.050980963
32,0.050953552,0.050470673
33,0.050320968,0.049545288
34,0.049243093,0.048198156
35,0.047823958,0.04655266
36,0.04610064,0.044660706
37,0.04425198,0.042724606
38,0.042394057,0.040870313
39,0.040654376,0.03923488
40,0.039142095,0.037917677
41,0.03798896,0.037027214
42,0.037215583,0.036559526
43,0.03679446,0.03644756
44,0.036737435,0.036693882
45,0.03696251,0.03719106
46,0.037545927,0.038019005
47,0.038426764,0.039099876
48,0.039491042,0.04026374
49,0.04055138,0.041311543
50,0.041465178,0.0421119
51,0.042117476,0.04257061
52,0.042496257,0.042700794
53,0.04254999,0.0425121
54,0.04242789,0.04217573
55,0.042230815,0.041838642
56,0.042063087,0.04160839
57,0.041992866,0.041551087
58,0.04210726,0.04172078
59,0.042428203,0.042109746
60,0.042886555,0.04263648
61,0.04344312,0.0432509
62,0.044060573,0.043909337
63,0.044665582,0.044539813
64,0.045173645,0.045070942
65,0.045609936,0.04553787
66,0.04599593,0.045969624
67,0.04635098,0.04637138
68,0.046715222,0.046745416
69,0.047055736,0.04705236
70,0.047294363,0.04720907
71,0.047582716,0.04737194
72,0.04786174,0.047497444
73,0.047997274,0.0474858
74,0.047948614,0.047294393
75,0.047713973,0.04691933
76,0.04724773,0.046327535
77,0.046585634,0.045557868
78,0.0457562,0.04464147
79,0.044791073,0.04360057
80,0.04370936,0.04247446
81,0.04258073,0.04134703
82,0.04148203,0.040294226
83,0.040478244,0.039369132
84,0.039616905,0.038610708
85,0.038894095,0.038004767
86,0.03827744,0.037499715
87,0.037724145,0.037052687
88,0.037242763,0.036672045
89,0.036810383,0.036337886
90,0.036487885,0.036121193
91,0.036315046,0.036055725
92,0.036278218,0.036122378
93,0.036340296,0.03626656
94,0.036454886,0.0364302
95,0.036610097,0.03659982
96,0.036723092,0.0366974
97,0.036800086,0.036741454
98,0.03686656,0.036765087
99,0.036955453,0.036818754
100,0.037097573,0.03693736
101,0.03727231,0.03710634
102,0.037517607,0.03735475
103,0.037796833,0.03764456
104,0.03811191,0.03797258
105,0.03842087,0.038298097
106,0.038704306,0.03860117
107,0.038975276,0.038878065
108,0.03920252,0.039085094
109,0.039389715,0.039221708
110,0.03948734,0.039264653
111,0.0395201,0.039225522
112,0.03942187,0.03904191
113,0.039226264,0.03876519
114,0.038936347,0.03840341
115,0.038561366,0.037962463
116,0.03809113,0.03743617
117,0.037606835,0.036928054
118,0.037121467,0.03644008
119,0.036686048,0.036022563
120,0.036289893,0.035657104
121,0.03595499,0.035361078
122,0.03568189,0.03512061
123,0.0354392,0.034898702
124,0.035196155,0.034680385
125,0.034964666,0.03448112
126,0.034722313,0.034283902
127,0.034484997,0.03409304
128,0.034247108,0.033897262
129,0.034024887,0.0337038
130,0.0338358,0.033552464
131,0.033704452,0.033451315
132,0.033631675,0.03340927
133,0.03360209,0.0334093
134,0.033598177,0.033433657
135,0.033611014,0.033461172
136,0.03360761,0.033451896
137,0.03360083,0.033430096
138,0.033581495,0.033385072
139,0.03355682,0.033337157
140,0.033528745,0.0332813
141,0.033420406,0.033147972
142,0.03323409,0.032943655
143,0.033010036,0.032724988
144,0.032821186,0.03257143
145,0.032691732,0.03248826
146,0.032654755,0.0325005
147,0.032604188,0.032472085
148,0.032466322,0.032328833
149,0.03220141,0.03206226
150,0.031900696,0.031800386
151,0.03166946,0.031637643
152,0.031587124,0.031667847
153,0.031765983,0.032052953
154,0.03214307,0.032642182
155,0.032763623,0.03347346
156,0.03364505,0.034593735
157,0.034291625,0.03528027
158,0.03510032,0.036263954
159,0.03601966,0.037304346
160,0.037049092,0.03843731
161,0.03819833,0.039662007
162,0.039429754,0.04090699
163,0.04073021,0.042157482
164,0.04206474,0.04338326
165,0.043350823,0.044500794
166,0.04435891,0.04526526
167,0.045213975,0.0458855
168,0.045715593,0.046054173
169,0.045849346,0.045812953
170,0.045713566,0.045321975
171,0.045169957,0.04444248
172,0.04419601,0.043187793
173,0.04295408,0.04177281
174,0.041563742,0.04027755
175,0.04012563,0.03872868
176,0.038708247,0.037163872
177,0.037056223,0.03540652
178,0.035248064,0.03353897
179,0.033280514,0.031569052
180,0.03140916,0.029739525
181,0.029583637,0.02799331
182,0.027581211,0.026157238
183,0.025925145,0.024662249
184,0.024571415,0.023455795
185,0.023424,0.022448732
186,0.022469226,0.021630796
187,0.021687407,0.020976847
188,0.021047007,0.02045376
189,0.020572156,0.020078627
190,0.020232908,0.019832717
191,0.0199444,0.019656816
192,0.019836325,0.019639699
193,0.019772395,0.019675905
194,0.019689083,0.019706646
195,0.019713368,0.019817041
196,0.019817669,0.019987809
197,0.019973367,0.020196596
198,0.020246398,0.02050517
199,0.02065643,0.020940086
200,0.021178156,0.021489779
201,0.02181486,0.022158818
202,0.02253535,0.022904826
203,0.023314964,0.023695108
204,0.0241277,0.024492893
205,0.024949793,0.025294706
206,0.025768071,0.026079375
207,0.026555479,0.02682748
208,0.027276244,0.027503576
209,0.027974382,0.028148614
210,0.028633479,0.028757859
211,0.029253189,0.029334042
212,0.029844165,0.02989545
213,0.030436888,0.030485619
214,0.031041406,0.031098682
215,0.031662203,0.031742025
216,0.03227921,0.032377806
217,0.032895975,0.033006463
218,0.033511475,0.033628773
219,0.0341167,0.03424241
220,0.03471598,0.034863334
221,0.035287604,0.03546429
222,0.035859182,0.036074426
223,0.03642781,0.036692414
224,0.03702131,0.037338022
225,0.037651353,0.038022716
226,0.03834884,0.038769316
227,0.039106354,0.039563645
228,0.03988062,0.04036479
229,0.040692374,0.04118828
230,0.041479178,0.041978154
231,0.04227473,0.04276515
232,0.04306837,0.04354072
233,0.04384467,0.044285987
234,0.044562608,0.044952746
235,0.045206808,0.045529265
236,0.045730487,0.04597218
237,0.04612457,0.046269204
238,0.046403326,0.046435017
239,0.04658246,0.046496276
240,0.046633765,0.046421375
241,0.046526477,0.04616716
242,0.046198145,0.04567327
243,0.045591585,0.04489767
244,0.04473558,0.043888967
245,0.04365939,0.042682793
246,0.042441383,0.04138295
247,0.041119337,0.040029336
248,0.039803177,0.038749132
249,0.038528055,0.03755853
250,0.03738437,0.03654312
251,0.036420114,0.035747055
252,0.03564947,0.03516363
253,0.035104148,0.034820396
254,0.034759693,0.034672234
255,0.034565188,0.034655515
256,0.03451395,0.03476451
257,0.034567557,0.03494468
258,0.03472945,0.035212252
259,0.034991965,0.035554413
260,0.035339095,0.035961572
261,0.035743214,0.03640486
262,0.036198497,0.036881533
263,0.036698155,0.037399437
264,0.03727161,0.038013812
265,0.03794699,0.038774017
266,0.038759187,0.039662454
267,0.039697975,0.04068419
268,0.040768623,0.041860174
269,0.041979395,0.043183114
270,0.043340348,0.04465
271,0.044727318,0.046128217
272,0.046097383,0.047552474
273,0.047403052,0.04886789
274,0.0485958,0.050023258
275,0.04964204,0.05100271
276,0.050559603,0.051856533
277,0.051409684,0.05264107
278,0.05223178,0.05338741
279,0.052939124,0.05399683
280,0.053561494,0.054513954
281,0.054069065,0.054925926
282,0.054512948,0.05532802
283,0.054975092,0.055780835
284,0.055458,0.056278117
285,0.055964604,0.0568083
286,0.056470715,0.057327077
287,0.05689779,0.05773665
288,0.057114087,0.057908982
289,0.05704496,0.0577579
290,0.056750253,0.05735746
291,0.05619792,0.056708127
292,0.055514976,0.05593159
293,0.054825403,0.055170313
294,0.054138653,0.054408744
295,0.053505667,0.053697206
296,0.052849814,0.052964486
297,0.052160457,0.052202664
298,0.05143734,0.051404364
299,0.050665528,0.050577566
300,0.049863316,0.04973662
301,0.04904504,0.048904613
302,0.048242718,0.048098527
303,0.04745073,0.047316127
304,0.046635546,0.04652876
305,0.045843154,0.045786615
306,0.045118995,0.045117263
307,0.044479325,0.044556458
308,0.043980084,0.044137936
