 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,0.669888,0.264819,9.764333,0.093451,-0.053435,-0.232023
0,0.688942,0.302913,9.918458,0.088577,-0.052692,-0.217822
0,0.602844,0.398281,9.995775,0.079547,-0.045132,-0.190482
0,0.482642,0.346533,10.053009,0.063695,-0.025861,-0.180105
0,0.482191,0.367774,10.006444,0.060998,-0.029714,-0.182825
0,0.450677,0.37085,9.99025,0.066062,-0.043762,-0.17324
0,0.466851,0.467216,10.028388,0.072131,-0.048213,-0.167056
0,0.390353,0.537807,10.091069,0.060951,-0.053451,-0.142336
0,0.218079,0.559808,10.049371,0.047704,-0.068528,-0.129534
0,0.126537,0.537334,9.941505,0.031336,-0.066009,-0.128428
0,0.105259,0.473304,9.784995,0.027478,-0.043041,-0.126194
0,0.135048,0.418734,9.651848,0.033046,-0.034664,-0.113551
0,0.084112,0.33175,9.615366,0.03839,-0.023949,-0.092406
0,-0.01328,0.21142,9.648109,0.042294,-0.019195,-0.079101
0,-0.053332,0.110973,9.640394,0.042639,-0.017568,-0.068828
0,-0.07688,-0.013185,9.600599,0.033046,0.015464,-0.068501
0,-0.090232,-0.06973,9.602265,0.038138,0.023434,-0.074303
0,-0.043562,-0.04281,9.579301,0.047777,0.020997,-0.068747
0,-0.043319,-0.048853,9.625515,0.050223,0.035366,-0.056216
0,-0.001883,-0.124972,9.699937,0.04327,0.070002,-0.048382
0,0.033821,-0.100524,9.783978,0.040324,0.09962,-0.053341
0,0.094301,-0.094339,9.861471,0.032455,0.119506,-0.052649
0,0.195283,-0.057743,9.977016,0.023593,0.124064,-0.054291
0,0.318583,-0.001883,10.079923,0.008615,0.132438,-0.045504
0,0.367179,0.009058,10.218847,-0.015793,0.146061,-0.040169
0,0.52007,0.071807,10.249041,-0.02412,0.118727,-0.041139
0,0.714649,0.169073,10.228396,-0.038057,0.08525,-0.034646
0,0.784397,0.203949,10.176551,-0.056905,0.095637,-0.005234
0,0.787914,0.184943,10.099526,-0.066114,0.100761,0.014515
0,0.706484,0.162617,10.068569,-0.068614,0.08172,0.024409
0,0.637986,0.152782,10.105829,-0.066731,0.051192,0.030517
0,0.591992,0.147271,10.150698,-0.053126,0.001573,0.03042
0,0.660463,0.191347,10.176447,-0.064967,-0.048579,0.024987
0,0.686824,0.259844,10.154005,-0.082068,-0.099202,0.031317
0,0.68558,0.266644,10.035444,-0.104957,-0.118379,0.048947
0,0.720985,0.251698,9.892869,-0.121547,-0.107224,0.047908
0,0.704813,0.287768,9.742919,-0.138619,-0.100037,0.054466
0,0.703344,0.263801,9.584589,-0.14092,-0.108176,0.06774
0,0.616019,0.264717,9.512954,-0.119706,-0.124555,0.077786
0,0.507414,0.248236,9.454066,-0.091968,-0.150635,0.081511
0,0.499613,0.337599,9.474025,-0.069364,-0.174287,0.087543
0,0.497037,0.416128,9.540122,-0.061664,-0.174583,0.101323
0,0.447043,0.503126,9.562529,-0.060261,-0.156555,0.117737
0,0.373053,0.550495,9.601071,-0.060247,-0.125458,0.132312
0,0.305441,0.570857,9.582009,-0.055008,-0.113596,0.145483
0,0.216615,0.582756,9.512336,-0.046837,-0.091559,0.162499
0,0.095632,0.53302,9.435884,-0.028688,-0.066325,0.17754
0,0.001843,0.526858,9.476086,0.007381,-0.065945,0.187025
0,-0.165604,0.483148,9.552063,0.03499,-0.057569,0.192156
0,-0.25674,0.471216,9.638274,0.041808,-0.055265,0.192788
0,-0.30444,0.360942,9.560852,0.039996,-0.05991,0.190244
0,-0.327319,0.301554,9.404064,0.050133,-0.041713,0.187241
0,-0.340806,0.261053,9.35885,0.06119,0.006929,0.175267
0,-0.474543,0.210278,9.43547,0.079325,0.045618,0.153682
0,-0.518656,0.163623,9.596061,0.108255,0.049614,0.120096
0,-0.497766,0.207667,9.775649,0.124171,0.030458,0.08331
0,-0.491419,0.231402,9.950508,0.129746,0.020968,0.055161
0,-0.357825,0.251261,10.031838,0.11719,0.017529,0.014687
0,-0.2042,0.275171,10.013995,0.097073,0.023011,-0.004861
0,-0.133673,0.28092,9.940299,0.077733,0.051999,-0.017757
0,-0.12702,0.21085,9.934385,0.067151,0.072252,-0.036209
0,-0.141786,0.228526,9.994857,0.071479,0.06416,-0.054478
0,-0.12206,0.196972,10.097586,0.078572,0.036796,-0.084595
0,-0.092353,0.277029,10.146489,0.078489,-0.0008,-0.102897
0,0.029611,0.317612,10.153813,0.06254,-0.024883,-0.116917
0,0.096444,0.358473,10.091964,0.021812,-0.027312,-0.116299
0,0.033624,0.257784,9.880802,-0.037501,-0.010365,-0.113067
0,-0.047862,0.085529,9.389166,-0.051066,-0.020634,-0.121268
0,-0.062313,-0.038168,9.028742,-0.018066,-0.047836,-0.14768
0,0.060081,-0.077933,8.82708,0.047395,-0.076008,-0.180574
0,0.294543,-0.024216,8.836938,0.128124,-0.092463,-0.201116
0,0.511769,0.127071,9.151161,0.193366,-0.072379,-0.205849
0,0.620579,0.333738,9.691509,0.23361,-0.040481,-0.184041
0,0.766337,0.499888,10.405696,0.220757,-0.006413,-0.167718
0,0.903993,0.637078,10.840652,0.168565,0.002565,-0.128751
0,0.981545,0.674104,11.001907,0.10935,-0.001634,-0.068744
0,0.840891,0.67344,11.133712,0.051591,0.001815,-0.014177
0,0.84851,0.722469,11.045045,0.004792,4.9e-05,0.019452
0,0.809014,0.777025,10.956362,-0.077406,0.030374,0.054308
0,0.587872,0.679766,10.634902,-0.169274,0.092078,0.090689
0,0.253257,0.459163,10.062981,-0.234066,0.112225,0.101196
0,-0.02438,0.276595,9.445012,-0.234908,0.080137,0.074059
0,-0.133196,0.116954,8.940572,-0.190378,0.025386,0.032587
0,-0.077055,0.073691,8.623953,-0.11445,-0.03863,-0.020321
0,0.057717,0.12001,8.503645,-0.022105,-0.074533,-0.055425
0,0.20254,0.238518,8.638099,0.063443,-0.076891,-0.086256
0,0.367273,0.414274,9.055395,0.123995,-0.06816,-0.098934
0,0.486997,0.570967,9.584408,0.155726,-0.046801,-0.092635
0,0.546226,0.678175,10.071182,0.153396,-0.029969,-0.066101
0,0.611037,0.748443,10.457354,0.118486,-0.025026,-0.036504
0,0.534327,0.808477,10.673147,0.063224,-0.023509,0.015295
0,0.420757,0.73955,10.672736,-0.002515,-0.003765,0.059991
